period,value
1980-01-01,37.919
1981-01-01,36.949
1982-01-01,32.948
1983-01-01,30.113
1984-01-01,29.061
1985-01-01,27.806
1986-01-01,14.438
1987-01-01,18.17
1988-01-01,14.734
1989-01-01,17.847
1990-01-01,22.895
1991-01-01,19.385
1992-01-01,19.039
1993-01-01,16.841
1994-01-01,15.944
1995-01-01,17.247
1996-01-01,20.495
1997-01-01,19.352
1998-01-01,13.236
1999-01-01,18.179
2000-01-01,28.471
2001-01-01,24.49
2002-01-01,25.001
2003-01-01,28.909
2004-01-01,37.807
2005-01-01,53.506
2006-01-01,64.402
2007-01-01,71.189
2008-01-01,96.767
2009-01-01,61.501
2010-01-01,79.144
2011-01-01,104.069
2012-01-01,105.097
2013-01-01,104.172
2014-01-01,96.326
2015-01-01,50.912
2016-01-01,43.264
2017-01-01,52.978
2018-01-01,68.533
2019-01-01,61.432
2020-01-01,41.765
2021-01-01,69.25
2022-01-01,96.362
2023-01-01,80.595
2024-01-01,78.609
2025-01-01,73.68
2026-01-01,70.561
2027-01-01,68.693
2028-01-01,67.776
2029-01-01,67.524
