period,value
1980-01-01,-56.283
1981-01-01,-82.156
1982-01-01,-91.859
1983-01-01,-75.971
1984-01-01,-67.937
1985-01-01,-63.542
1986-01-01,-66.333
1987-01-01,-63.541
1988-01-01,-57.27
1989-01-01,-83.357
1990-01-01,-111.62
1991-01-01,-152.062
1992-01-01,-136.405
1993-01-01,-67.192
1994-01-01,-89.198
1995-01-01,-74.649
1996-01-01,-62.661
1997-01-01,-9.193
1998-01-01,-82.845
1999-01-01,-98.95
2000-01-01,-155.677
2001-01-01,-187.088
2002-01-01,-144.777
2003-01-01,-83.15
2004-01-01,11.153
2005-01-01,50.142
2006-01-01,176.896
2007-01-01,215.571
2008-01-01,93.035
2009-01-01,176.433
2010-01-01,304.028
2011-01-01,328.176
2012-01-01,385.727
2013-01-01,404.967
2014-01-01,382.726
2015-01-01,186.396
2016-01-01,254.232
2017-01-01,443.896
2018-01-01,331.239
2019-01-01,387.083
2020-01-01,320.29
2021-01-01,918.576
2022-01-01,454.741
2023-01-01,563.929
2024-01-01,568.383
2025-01-01,553.963
2026-01-01,519.601
2027-01-01,489.259
2028-01-01,460.155
2029-01-01,403.577
