period,value
1980-01-01,11233.437
1981-01-01,11527.625
1982-01-01,11311.34
1983-01-01,11612.474
1984-01-01,12026.154
1985-01-01,12554.164
1986-01-01,14792.77
1987-01-01,17029.555
1988-01-01,19146.539
1989-01-01,20145.497
1990-01-01,22631.298
1991-01-01,23656.84
1992-01-01,25342.077
1993-01-01,26066.282
1994-01-01,28022.937
1995-01-01,31239.414
1996-01-01,32108.497
1997-01-01,32025.608
1998-01-01,31876.968
1999-01-01,33004.346
2000-01-01,34097.943
2001-01-01,33852.555
2002-01-01,34963.741
2003-01-01,39255.109
2004-01-01,44184.228
2005-01-01,47856.72
2006-01-01,51832.967
2007-01-01,58504.905
2008-01-01,64213.742
2009-01-01,60811.696
2010-01-01,66527.118
2011-01-01,73854.539
2012-01-01,75305.668
2013-01-01,77503.503
2014-01-01,79596.182
2015-01-01,75128.93
2016-01-01,76395.062
2017-01-01,81255.999
2018-01-01,86246.426
2019-01-01,87494.083
2020-01-01,85257.581
2021-01-01,96989.561
2022-01-01,100662.948
2023-01-01,104791.082
2024-01-01,109529.216
2025-01-01,114828.025
2026-01-01,120583.405
2027-01-01,126507.755
2028-01-01,132732.857
2029-01-01,139048.771
