period,value
1996-01-01,-2.06191730499268
1998-01-01,-2.31805849075317
2000-01-01,-2.03817391395569
2002-01-01,-1.5761798620224
2003-01-01,-1.0073858499527
2004-01-01,-1.0631206035614
2005-01-01,-0.885178327560425
2006-01-01,-0.539453446865082
2007-01-01,-0.666658759117126
2008-01-01,-0.361787378787994
2009-01-01,-0.34759184718132
2010-01-01,-0.226182341575623
2011-01-01,-0.369237810373306
2012-01-01,-0.389322549104691
2013-01-01,-0.39123347401619
2014-01-01,-0.333232045173645
2015-01-01,-0.50538581609726
2016-01-01,-0.321580082178116
2017-01-01,-0.38913482427597
2018-01-01,-0.347750902175903
2019-01-01,-0.370094686746597
2020-01-01,-0.600726008415222
2021-01-01,-0.709369480609894
2022-01-01,-0.646240890026093
