period,value
1996-01-01,-0.220460131764412
1998-01-01,-0.339505791664124
2000-01-01,0.18410162627697
2002-01-01,0.327800273895264
2003-01-01,0.00421393429860473
2004-01-01,-0.275992810726166
2005-01-01,-0.263379752635956
2006-01-01,-0.294911116361618
2007-01-01,-0.3579480946064
2008-01-01,-0.313424706459045
2009-01-01,0.163664221763611
2010-01-01,0.0134759107604623
2011-01-01,-0.132575422525406
2012-01-01,0.0459616407752037
2013-01-01,-0.258553296327591
2014-01-01,-0.070290133357048
2015-01-01,-0.331864446401596
2016-01-01,-0.381035059690475
2017-01-01,-0.480093955993652
2018-01-01,-0.459640145301819
2019-01-01,-0.714393615722656
2020-01-01,-0.445607244968414
2021-01-01,-0.419696539640427
2022-01-01,-0.331465899944305
