period,value
1996-01-01,-1.64785850048065
1998-01-01,-1.79392170906067
2000-01-01,-1.60896074771881
2002-01-01,-1.95671439170837
2003-01-01,-2.37602686882019
2004-01-01,-2.27122640609741
2005-01-01,-2.05794286727905
2006-01-01,-1.90479671955109
2007-01-01,-1.80652725696564
2008-01-01,-1.85346233844757
2009-01-01,-1.83234584331512
2010-01-01,-1.53718483448029
2011-01-01,-1.28465557098389
2012-01-01,-1.40181040763855
2013-01-01,-1.29197180271149
2014-01-01,-1.11459410190582
2015-01-01,-1.0726637840271
2016-01-01,-0.887163996696472
2017-01-01,-0.779457688331604
2018-01-01,-0.806959629058838
2019-01-01,-0.979467272758484
2020-01-01,-0.701150596141815
2021-01-01,-0.954557538032532
2022-01-01,-0.641925930976868
