period,value
1996-01-01,-0.526031970977783
1998-01-01,-0.0207697190344334
2000-01-01,0.0497975237667561
2002-01-01,-0.414172112941742
2003-01-01,-0.640924513339996
2004-01-01,-0.822401702404022
2005-01-01,-0.629358649253845
2006-01-01,-0.837807655334473
2007-01-01,-0.552382111549377
2008-01-01,-0.510431706905365
2009-01-01,-0.607227087020874
2010-01-01,-0.898418307304382
2011-01-01,-1.43705701828003
2012-01-01,-1.43632972240448
2013-01-01,-1.63883090019226
2014-01-01,-1.63117659091949
2015-01-01,-1.49933218955994
2016-01-01,-1.43972682952881
2017-01-01,-1.42964518070221
2018-01-01,-1.18810069561005
2019-01-01,-1.12460207939148
2020-01-01,-1.18191170692444
2021-01-01,-1.03284096717834
2022-01-01,-1.02805662155151
