period,value
1996-01-01,-0.324623703956604
1998-01-01,-0.693391084671021
2000-01-01,-0.727548360824585
2002-01-01,-0.773440599441528
2003-01-01,-0.779733180999756
2004-01-01,-0.761824309825897
2005-01-01,-0.782738864421844
2006-01-01,-1.04084002971649
2007-01-01,-0.931640446186066
2008-01-01,-0.939874708652496
2009-01-01,-1.56424200534821
2010-01-01,-1.63059186935425
2011-01-01,-1.4217677116394
2012-01-01,-1.32392609119415
2013-01-01,-1.24968659877777
2014-01-01,-0.874987661838531
2015-01-01,-0.924846887588501
2016-01-01,-0.81402063369751
2017-01-01,-0.933828711509705
2018-01-01,-1.34214425086975
2019-01-01,-1.71146535873413
2020-01-01,-1.69916200637817
2021-01-01,-1.58438456058502
2022-01-01,-1.58643913269043
