period,value
1996-01-01,-0.367461204528809
1998-01-01,0.194383829832077
2000-01-01,0.0900903418660164
2002-01-01,0.358549177646637
2003-01-01,0.356259912252426
2004-01-01,0.0703879743814468
2005-01-01,0.190631836652756
2006-01-01,0.207937806844711
2007-01-01,0.647996783256531
2008-01-01,0.626638472080231
2009-01-01,0.776816248893738
2010-01-01,0.52297180891037
2011-01-01,-0.338570564985275
2012-01-01,-0.408455014228821
2013-01-01,-0.402473896741867
2014-01-01,0.0360181555151939
2015-01-01,-0.0383530743420124
2016-01-01,0.00146297342143953
2017-01-01,0.0243722945451736
2018-01-01,-0.0526988133788109
2019-01-01,-0.167979881167412
2020-01-01,-0.257630288600922
2021-01-01,-0.231327518820763
2022-01-01,-0.356833428144455
