period,value
1996-01-01,-0.668952643871307
1998-01-01,-0.752315282821655
2000-01-01,-0.439044535160065
2002-01-01,-0.35481521487236
2003-01-01,-0.459642589092255
2004-01-01,-0.713360965251923
2005-01-01,-0.999740839004517
2006-01-01,-1.8038626909256
2007-01-01,-2.11909532546997
2008-01-01,-1.87660884857178
2009-01-01,-1.5616968870163
2010-01-01,-1.62501502037048
2011-01-01,-1.55828750133514
2012-01-01,-1.66481232643127
2013-01-01,-1.69035339355469
2014-01-01,-1.69794130325317
2015-01-01,-1.69836449623108
2016-01-01,-1.61568403244019
2017-01-01,-1.62222683429718
2018-01-01,-1.62153577804565
2019-01-01,-1.67229104042053
2020-01-01,-1.62113451957703
2021-01-01,-1.48194456100464
2022-01-01,-1.47351241111755
