period,value
1996-01-01,-2.43946290016174
1998-01-01,-1.75555086135864
2000-01-01,-1.95288050174713
2002-01-01,-2.18961954116821
2003-01-01,-2.15939283370972
2004-01-01,-1.36538577079773
2005-01-01,-1.35790872573853
2006-01-01,-1.32684123516083
2007-01-01,-1.24483954906464
2008-01-01,-1.28312230110168
2009-01-01,-1.05055463314056
2010-01-01,-0.468525290489197
2011-01-01,-0.427370250225067
2012-01-01,-0.484476506710052
2013-01-01,-0.475507080554962
2014-01-01,-0.615449607372284
2015-01-01,-0.817833304405212
2016-01-01,-0.441768199205399
2017-01-01,-0.32053479552269
2018-01-01,-0.203764617443085
2019-01-01,-0.339135408401489
2020-01-01,-0.314182639122009
2021-01-01,-0.286361515522003
2022-01-01,-0.291599869728088
