period,value
1996-01-01,-1.05690824985504
1998-01-01,-0.588243722915649
2000-01-01,-1.45532631874084
2002-01-01,-1.62632930278778
2003-01-01,-1.63558828830719
2004-01-01,-1.75441575050354
2005-01-01,-1.6665004491806
2006-01-01,-2.03407764434814
2007-01-01,-2.01405644416809
2008-01-01,-1.86071193218231
2009-01-01,-1.99455380439758
2010-01-01,-2.21112322807312
2011-01-01,-1.95645451545715
2012-01-01,-2.04207372665405
2013-01-01,-2.08847832679749
2014-01-01,-2.1302764415741
2015-01-01,-1.92170512676239
2016-01-01,-1.87388896942139
2017-01-01,-1.99671685695648
2018-01-01,-2.09741425514221
2019-01-01,-1.93307113647461
2020-01-01,-1.89196145534515
2021-01-01,-1.78729927539825
2022-01-01,-1.79814147949219
