period,value
1996-01-01,-1.17785394191742
1998-01-01,-1.08974099159241
2000-01-01,-1.39924204349518
2002-01-01,-0.724512279033661
2003-01-01,-1.19315183162689
2004-01-01,-1.51459443569183
2005-01-01,-1.2677013874054
2006-01-01,-0.908794343471527
2007-01-01,-0.863382518291473
2008-01-01,-0.749933898448944
2009-01-01,-0.969926595687866
2010-01-01,-0.929458737373352
2011-01-01,-0.998262107372284
2012-01-01,-0.817712664604187
2013-01-01,-0.736093640327454
2014-01-01,-0.943617463111877
2015-01-01,-1.03222346305847
2016-01-01,-0.947688162326813
2017-01-01,-0.642759621143341
2018-01-01,-0.538375675678253
2019-01-01,-0.551099121570587
2020-01-01,-0.667409420013428
2021-01-01,-0.707901835441589
2022-01-01,-0.918995440006256
