period,value
1996-01-01,-0.189457833766937
1998-01-01,0.110229097306728
2000-01-01,0.227821603417397
2002-01-01,0.00242432416416705
2003-01-01,0.141017645597458
2004-01-01,-0.65463250875473
2005-01-01,-0.240614011883736
2006-01-01,-0.522423803806305
2007-01-01,-0.467305243015289
2008-01-01,-0.336524426937103
2009-01-01,-0.49253523349762
2010-01-01,-0.226726979017258
2011-01-01,-0.464799642562866
2012-01-01,-0.480688244104385
2013-01-01,-0.431784123182297
2014-01-01,-0.285844653844833
2015-01-01,-0.634387195110321
2016-01-01,-0.472771108150482
2017-01-01,-0.649576365947723
2018-01-01,-0.660840630531311
2019-01-01,-0.623455822467804
2020-01-01,-0.650508463382721
2021-01-01,-0.591131269931793
2022-01-01,-0.362989008426666
