period,value
1996-01-01,-0.347959876060486
1998-01-01,-0.0441065803170204
2000-01-01,-0.180450946092606
2002-01-01,0.277536004781723
2003-01-01,0.0636451989412308
2004-01-01,-0.285746335983276
2005-01-01,-0.461608588695526
2006-01-01,-0.278217822313309
2007-01-01,-0.339876115322113
2008-01-01,-0.339036047458649
2009-01-01,-0.509100556373596
2010-01-01,-0.805789709091187
2011-01-01,-2.01210689544678
2012-01-01,-2.68227386474609
2013-01-01,-2.68114280700684
2014-01-01,-2.74882411956787
2015-01-01,-2.965176820755
2016-01-01,-2.90603613853455
2017-01-01,-2.61291766166687
2018-01-01,-2.73627853393555
2019-01-01,-2.73033118247986
2020-01-01,-2.71175765991211
2021-01-01,-2.65949296951294
2022-01-01,-2.79725193977356
