period,value
1996-01-01,0.262547045946121
1998-01-01,0.263467073440552
2000-01-01,0.321114897727966
2002-01-01,0.154225796461105
2003-01-01,0.317870795726776
2004-01-01,0.148958027362823
2005-01-01,0.0242274515330791
2006-01-01,0.20851244032383
2007-01-01,0.158262476325035
2008-01-01,0.0998212322592735
2009-01-01,0.0596117079257965
2010-01-01,-0.0639763623476028
2011-01-01,-0.3537417948246
2012-01-01,-0.721316933631897
2013-01-01,-0.902563273906708
2014-01-01,-0.851661503314972
2015-01-01,-0.960177004337311
2016-01-01,-1.13972234725952
2017-01-01,-1.02349030971527
2018-01-01,-0.868218719959259
2019-01-01,-0.877072870731354
2020-01-01,-0.59433114528656
2021-01-01,-0.756551444530487
2022-01-01,-0.596295177936554
