period,value
1996-01-01,-0.54373174905777
1998-01-01,-0.683049440383911
2000-01-01,-1.30195045471191
2002-01-01,-1.0568835735321
2003-01-01,-1.29919517040253
2004-01-01,-1.45551669597626
2005-01-01,-1.95789563655853
2006-01-01,-1.78465950489044
2007-01-01,-1.36203336715698
2008-01-01,-1.20710647106171
2009-01-01,-0.950552523136139
2010-01-01,-0.720438122749329
2011-01-01,-0.599719345569611
2012-01-01,-0.518739342689514
2013-01-01,-0.536078989505768
2014-01-01,-0.273108631372452
2015-01-01,-0.374532461166382
2016-01-01,-0.280753701925278
2017-01-01,-0.244979038834572
2018-01-01,-0.304469525814056
2019-01-01,-0.296665459871292
2020-01-01,-0.436710476875305
2021-01-01,-0.252974152565002
2022-01-01,-0.196214869618416
