Series,date,value,period
Global Inflation,2000-01-01,169.3,
Global Inflation,2000-02-01,170.0,
Global Inflation,2000-03-01,171.0,
Global Inflation,2000-04-01,170.9,
Global Inflation,2000-05-01,171.2,
Global Inflation,2000-06-01,172.2,
Global Inflation,2000-07-01,172.7,
Global Inflation,2000-08-01,172.7,
Global Inflation,2000-09-01,173.6,
Global Inflation,2000-10-01,173.9,
Global Inflation,2000-11-01,174.2,
Global Inflation,2000-12-01,174.6,
Global Inflation,2001-01-01,175.6,
Global Inflation,2001-02-01,176.0,
Global Inflation,2001-03-01,176.1,
Global Inflation,2001-04-01,176.4,
Global Inflation,2001-05-01,177.3,
Global Inflation,2001-06-01,177.7,
Global Inflation,2001-07-01,177.4,
Global Inflation,2001-08-01,177.4,
Global Inflation,2001-09-01,178.1,
Global Inflation,2001-10-01,177.6,
Global Inflation,2001-11-01,177.5,
Global Inflation,2001-12-01,177.4,
Global Inflation,2002-01-01,177.7,
Global Inflation,2002-02-01,178.0,
Global Inflation,2002-03-01,178.5,
Global Inflation,2002-04-01,179.3,
Global Inflation,2002-05-01,179.5,
Global Inflation,2002-06-01,179.6,
Global Inflation,2002-07-01,180.0,
Global Inflation,2002-08-01,180.5,
Global Inflation,2002-09-01,180.8,
Global Inflation,2002-10-01,181.2,
Global Inflation,2002-11-01,181.5,
Global Inflation,2002-12-01,181.8,
Global Inflation,2003-01-01,182.6,
Global Inflation,2003-02-01,183.6,
Global Inflation,2003-03-01,183.9,
Global Inflation,2003-04-01,183.2,
Global Inflation,2003-05-01,182.9,
Global Inflation,2003-06-01,183.1,
Global Inflation,2003-07-01,183.7,
Global Inflation,2003-08-01,184.5,
Global Inflation,2003-09-01,185.1,
Global Inflation,2003-10-01,184.9,
Global Inflation,2003-11-01,185.0,
Global Inflation,2003-12-01,185.5,
Global Inflation,2004-01-01,186.3,
Global Inflation,2004-02-01,186.7,
Global Inflation,2004-03-01,187.1,
Global Inflation,2004-04-01,187.4,
Global Inflation,2004-05-01,188.2,
Global Inflation,2004-06-01,188.9,
Global Inflation,2004-07-01,189.1,
Global Inflation,2004-08-01,189.2,
Global Inflation,2004-09-01,189.8,
Global Inflation,2004-10-01,190.8,
Global Inflation,2004-11-01,191.7,
Global Inflation,2004-12-01,191.7,
Global Inflation,2005-01-01,191.6,
Global Inflation,2005-02-01,192.4,
Global Inflation,2005-03-01,193.1,
Global Inflation,2005-04-01,193.7,
Global Inflation,2005-05-01,193.6,
Global Inflation,2005-06-01,193.7,
Global Inflation,2005-07-01,194.9,
Global Inflation,2005-08-01,196.1,
Global Inflation,2005-09-01,198.8,
Global Inflation,2005-10-01,199.1,
Global Inflation,2005-11-01,198.1,
Global Inflation,2005-12-01,198.1,
Global Inflation,2006-01-01,199.3,
Global Inflation,2006-02-01,199.4,
Global Inflation,2006-03-01,199.7,
Global Inflation,2006-04-01,200.7,
Global Inflation,2006-05-01,201.3,
Global Inflation,2006-06-01,201.8,
Global Inflation,2006-07-01,202.9,
Global Inflation,2006-08-01,203.8,
Global Inflation,2006-09-01,202.8,
Global Inflation,2006-10-01,201.9,
Global Inflation,2006-11-01,202.0,
Global Inflation,2006-12-01,203.1,
Global Inflation,2007-01-01,203.437,
Global Inflation,2007-02-01,204.226,
Global Inflation,2007-03-01,205.288,
Global Inflation,2007-04-01,205.904,
Global Inflation,2007-05-01,206.755,
Global Inflation,2007-06-01,207.234,
Global Inflation,2007-07-01,207.603,
Global Inflation,2007-08-01,207.667,
Global Inflation,2007-09-01,208.547,
Global Inflation,2007-10-01,209.19,
Global Inflation,2007-11-01,210.834,
Global Inflation,2007-12-01,211.445,
Global Inflation,2008-01-01,212.174,
Global Inflation,2008-02-01,212.687,
Global Inflation,2008-03-01,213.448,
Global Inflation,2008-04-01,213.942,
Global Inflation,2008-05-01,215.208,
Global Inflation,2008-06-01,217.463,
Global Inflation,2008-07-01,219.016,
Global Inflation,2008-08-01,218.69,
Global Inflation,2008-09-01,218.877,
Global Inflation,2008-10-01,216.995,
Global Inflation,2008-11-01,213.153,
Global Inflation,2008-12-01,211.398,
Global Inflation,2009-01-01,211.933,
Global Inflation,2009-02-01,212.705,
Global Inflation,2009-03-01,212.495,
Global Inflation,2009-04-01,212.709,
Global Inflation,2009-05-01,213.022,
Global Inflation,2009-06-01,214.79,
Global Inflation,2009-07-01,214.726,
Global Inflation,2009-08-01,215.445,
Global Inflation,2009-09-01,215.861,
Global Inflation,2009-10-01,216.509,
Global Inflation,2009-11-01,217.234,
Global Inflation,2009-12-01,217.347,
Global Inflation,2010-01-01,217.488,
Global Inflation,2010-02-01,217.281,
Global Inflation,2010-03-01,217.353,
Global Inflation,2010-04-01,217.403,
Global Inflation,2010-05-01,217.29,
Global Inflation,2010-06-01,217.199,
Global Inflation,2010-07-01,217.605,
Global Inflation,2010-08-01,217.923,
Global Inflation,2010-09-01,218.275,
Global Inflation,2010-10-01,219.035,
Global Inflation,2010-11-01,219.59,
Global Inflation,2010-12-01,220.472,
Global Inflation,2011-01-01,221.187,
Global Inflation,2011-02-01,221.898,
Global Inflation,2011-03-01,223.046,
Global Inflation,2011-04-01,224.093,
Global Inflation,2011-05-01,224.806,
Global Inflation,2011-06-01,224.806,
Global Inflation,2011-07-01,225.395,
Global Inflation,2011-08-01,226.106,
Global Inflation,2011-09-01,226.597,
Global Inflation,2011-10-01,226.75,
Global Inflation,2011-11-01,227.169,
Global Inflation,2011-12-01,227.223,
Global Inflation,2012-01-01,227.842,
Global Inflation,2012-02-01,228.329,
Global Inflation,2012-03-01,228.807,
Global Inflation,2012-04-01,229.187,
Global Inflation,2012-05-01,228.713,
Global Inflation,2012-06-01,228.524,
Global Inflation,2012-07-01,228.59,
Global Inflation,2012-08-01,229.918,
Global Inflation,2012-09-01,231.015,
Global Inflation,2012-10-01,231.638,
Global Inflation,2012-11-01,231.249,
Global Inflation,2012-12-01,231.221,
Global Inflation,2013-01-01,231.679,
Global Inflation,2013-02-01,232.937,
Global Inflation,2013-03-01,232.282,
Global Inflation,2013-04-01,231.797,
Global Inflation,2013-05-01,231.893,
Global Inflation,2013-06-01,232.445,
Global Inflation,2013-07-01,232.9,
Global Inflation,2013-08-01,233.456,
Global Inflation,2013-09-01,233.544,
Global Inflation,2013-10-01,233.669,
Global Inflation,2013-11-01,234.1,
Global Inflation,2013-12-01,234.719,
Global Inflation,2014-01-01,235.288,
Global Inflation,2014-02-01,235.547,
Global Inflation,2014-03-01,236.028,
Global Inflation,2014-04-01,236.468,
Global Inflation,2014-05-01,236.918,
Global Inflation,2014-06-01,237.231,
Global Inflation,2014-07-01,237.498,
Global Inflation,2014-08-01,237.46,
Global Inflation,2014-09-01,237.477,
